COUNTY,NAME,EASTING,NORTHING,CAPTURE DATE,SPECIES COMMON NAME,CAPTURE METHOD NAME,ORIGIN
Annapolis,ALMA,"332,331","4,942,630",06/06/1984,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,ALMA,"332,331","4,942,630",06/06/1984,White Perch,100 ft gill net,Natural Occurrence
Annapolis,ALMA,"332,331","4,942,630",06/06/1984,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,ALMA,"332,331","4,942,630",06/06/1984,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,ALMA,"332,331","4,942,630",06/06/1984,American Eel,100 ft gill net,Natural Occurrence
Annapolis,ALMA,"332,331","4,942,630",06/06/1984,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,ALMA,"332,331","4,942,630",06/06/1984,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,BAILLE,"303,209","4,941,270",07/26/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,BAILLE,"303,209","4,941,270",07/26/1975,American Eel,visual observation,Natural Occurrence
Annapolis,BAILLE,"303,209","4,941,270",07/26/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,BAILLE,"303,209","4,941,270",07/26/1975,Golden Shiner,seine net,Natural Occurrence
Annapolis,BAILLE,"303,209","4,941,270",07/26/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,BEELERS,"300,294","4,947,390",07/27/1975,White Perch,unknown,Natural Occurrence
Annapolis,BEELERS,"300,294","4,947,390",07/27/1975,Brown Bullhead,unknown,Natural Occurrence
Annapolis,BEELERS,"300,294","4,947,390",07/27/1975,American Eel,unknown,Natural Occurrence
Annapolis,BEELERS,"300,294","4,947,390",07/27/1975,White Sucker,unknown,Natural Occurrence
Annapolis,BEELERS,"300,294","4,947,390",07/27/1975,Golden Shiner,unknown,Natural Occurrence
Annapolis,BEELERS,"300,294","4,947,390",07/27/1975,Banded Killifish,unknown,Natural Occurrence
Annapolis,BIG MOLLY UPSIM,"337,860","4,947,830",01/01/2000,Smallmouth Bass,unknown,Illegal Introduction
Annapolis,BIG MOLLY UPSIM,"337,860","4,947,830",07/07/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,BIG MOLLY UPSIM,"337,860","4,947,830",07/07/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,BIG MOLLY UPSIM,"337,860","4,947,830",07/07/1975,American Eel,100 ft gill net,Natural Occurrence
Annapolis,BIG MOLLY UPSIM,"337,860","4,947,830",07/07/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,BOOT,"310,758","4,938,150",07/22/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,BOOT,"310,758","4,938,150",07/22/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,BOOT,"310,758","4,938,150",07/22/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,BOOT,"310,758","4,938,150",07/22/1975,Creek Chub,seine net,Natural Occurrence
Annapolis,BOOT,"310,758","4,938,150",07/22/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,BOOT,"310,758","4,938,150",07/22/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,CADY,"301,512","4,942,940",07/24/1975,American Eel,100 ft gill net,Natural Occurrence
Annapolis,CADY,"301,512","4,942,940",07/24/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,CADY,"301,512","4,942,940",07/24/1975,Golden Shiner,seine net,Natural Occurrence
Annapolis,CADY,"301,512","4,942,940",07/24/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,CONNELL,"337,969","4,954,260",06/12/1975,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,CONNELL,"337,969","4,954,260",06/12/1975,White Perch,100 ft gill net,Natural Occurrence
Annapolis,CONNELL,"337,969","4,954,260",06/12/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,CONNELL,"337,969","4,954,260",06/12/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,CONNELL,"337,969","4,954,260",06/12/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,CONNELL,"337,969","4,954,260",06/12/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,CONNELL,"337,969","4,954,260",06/12/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,CROSKILL,"317,300","4,971,630",07/16/1975,American Eel,100 ft gill net,Natural Occurrence
Annapolis,CROSKILL,"317,300","4,971,630",07/16/1975,Banded Killifish,100 ft gill net,Natural Occurrence
Annapolis,ELEVEN MILE,"318,171","4,933,370",08/23/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,ELEVEN MILE,"318,171","4,933,370",08/23/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,ELEVEN MILE,"318,171","4,933,370",08/23/1975,Lake Whitefish,100 ft gill net,Natural Occurrence
Annapolis,ELEVEN MILE,"318,171","4,933,370",08/23/1975,American Eel,unknown,Natural Occurrence
Annapolis,ELEVEN MILE,"318,171","4,933,370",08/23/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,ELEVEN MILE,"318,171","4,933,370",08/23/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,ELEVEN MILE,"318,171","4,933,370",08/23/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,ELLIOT,"327,739","4,978,710",09/04/2003,Tiger Trout,unknown,Legal Introduction
Annapolis,ELLIOT,"327,739","4,978,710",09/04/2003,Smallmouth Bass,100 ft gill net,Illegal Introduction
Annapolis,ELLIOT,"327,739","4,978,710",09/15/1986,Brown Trout,unknown,Legal Introduction
Annapolis,ELLIOT,"327,739","4,978,710",09/15/1986,Smallmouth Bass,100 ft gill net,Illegal Introduction
Annapolis,ELLIOT,"327,739","4,978,710",01/01/1950,Smallmouth Bass,unknown,Legal Introduction
Annapolis,FED,"295,227","4,940,320",08/15/1983,Nine Spine Stickleback,100 ft gill net,Natural Occurrence
Annapolis,FED,"295,227","4,940,320",08/15/1983,Banded Killifish,100 ft gill net,Natural Occurrence
Annapolis,FED,"295,227","4,940,320",08/04/1975,Banded Killifish,100 ft gill net,Natural Occurrence
Annapolis,FISHER,"314,005","4,935,440",08/21/1975,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,FISHER,"314,005","4,935,440",08/21/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,FISHER,"314,005","4,935,440",08/21/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,FISHER,"314,005","4,935,440",08/21/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,FISHER,"314,005","4,935,440",08/21/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,FISHER,"314,005","4,935,440",08/21/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,GIBONS,"317,443","4,953,990",08/18/1975,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,GIBONS,"317,443","4,953,990",08/18/1975,Striped Bass,100 ft gill net,Natural Occurrence
Annapolis,GIBONS,"317,443","4,953,990",08/18/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,GIBONS,"317,443","4,953,990",08/18/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,GIBONS,"317,443","4,953,990",08/18/1975,American Eel,visual observation,Natural Occurrence
Annapolis,GIBONS,"317,443","4,953,990",08/18/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,GIBONS,"317,443","4,953,990",08/18/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,GIBONS,"317,443","4,953,990",08/18/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,GRAND,"304,050","4,946,330",01/01/1993,Smallmouth Bass,unknown,Illegal Introduction
Annapolis,GRAND,"304,050","4,946,330",08/25/1975,White Perch,100 ft gill net,Natural Occurrence
Annapolis,GRAND,"304,050","4,946,330",08/25/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,GRAND,"304,050","4,946,330",08/25/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,GRAND,"304,050","4,946,330",08/25/1975,American Eel,visual observation,Natural Occurrence
Annapolis,GRAND,"304,050","4,946,330",08/25/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,GRAND,"304,050","4,946,330",08/25/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,GRAND,"304,050","4,946,330",08/25/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,JERRY,"307,500","4,953,790",07/19/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,JERRY,"307,500","4,953,790",07/19/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,JERRY,"307,500","4,953,790",07/19/1975,American Eel,100 ft gill net,Natural Occurrence
Annapolis,JERRY,"307,500","4,953,790",07/19/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,JERRY,"307,500","4,953,790",07/19/1975,Banded Killifish,100 ft gill net,Natural Occurrence
Annapolis,LAKE PLEASANT,"351,491","4,942,310",06/18/1975,White Perch,100 ft gill net,Natural Occurrence
Annapolis,LAKE PLEASANT,"351,491","4,942,310",06/18/1975,Yellow Perch,seine net,Natural Occurrence
Annapolis,LAKE PLEASANT,"351,491","4,942,310",06/18/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,LAKE PLEASANT,"351,491","4,942,310",06/18/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,LAKE PLEASANT,"351,491","4,942,310",06/18/1975,Golden Shiner,seine net,Natural Occurrence
Annapolis,LAKE PLEASANT,"351,491","4,942,310",06/18/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,LAMB,"305,937","4,949,020",01/01/2006,Smallmouth Bass,unknown,Illegal Introduction
Annapolis,LAMB,"305,937","4,949,020",07/20/1975,White Perch,100 ft gill net,Natural Occurrence
Annapolis,LAMB,"305,937","4,949,020",07/20/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,LAMB,"305,937","4,949,020",07/20/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,LAMB,"305,937","4,949,020",07/20/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,LAMB,"305,937","4,949,020",07/20/1975,Golden Shiner,seine net,Natural Occurrence
Annapolis,LAMB,"305,937","4,949,020",07/20/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,LAROSE,"306,644","4,953,960",08/01/1968,Banded Killifish,minnow pail,Natural Occurrence
Annapolis,LILY,"432,264","4,942,878",06/03/1975,Banded Killifish,100 ft gill net,Natural Occurrence
Annapolis,LIVERPOOL HEAD,"309,193","4,939,130",08/06/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,LIVERPOOL HEAD,"309,193","4,939,130",08/06/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,LIVERPOOL HEAD,"309,193","4,939,130",08/06/1975,Lake Whitefish,100 ft gill net,Natural Occurrence
Annapolis,LIVERPOOL HEAD,"309,193","4,939,130",08/06/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,LIVERPOOL HEAD,"309,193","4,939,130",08/06/1975,Golden Shiner,seine net,Natural Occurrence
Annapolis,LIVERPOOL HEAD,"309,193","4,939,130",08/06/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,LOWER SIXTY,"356,211","4,953,816",10/24/2016,Brook Trout,unknown,Stocking Program
Annapolis,LOWER WRIGHTS,"312,666","4,955,230",07/17/1975,Atlantic Salmon,unknown,Natural Occurrence
Annapolis,LOWER WRIGHTS,"312,666","4,955,230",07/17/1975,American Eel,visual observation,Natural Occurrence
Annapolis,LOWER WRIGHTS,"312,666","4,955,230",07/17/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,LOWER WRIGHTS,"312,666","4,955,230",07/17/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,LOWER WRIGHTS,"312,666","4,955,230",07/17/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,MCGILL,"340,834","4,949,990",01/01/2000,Smallmouth Bass,unknown,Illegal Introduction
Annapolis,MCGILL,"340,834","4,949,990",07/04/1975,White Perch,100 ft gill net,Natural Occurrence
Annapolis,MCGILL,"340,834","4,949,990",07/04/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,MCGILL,"340,834","4,949,990",07/04/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,MCGILL,"340,834","4,949,990",07/04/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,MCGILL,"340,834","4,949,990",07/04/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,MILBURY,"305,813","4,966,650",07/19/1975,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,MILBURY,"305,813","4,966,650",07/19/1975,American Eel,100 ft gill net,Natural Occurrence
Annapolis,MILBURY,"305,813","4,966,650",07/19/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,MILETREE,"346,380","4,949,880",06/24/1975,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,MILETREE,"346,380","4,949,880",06/24/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,MILETREE,"346,380","4,949,880",06/24/1975,Golden Shiner,seine net,Natural Occurrence
Annapolis,MILETREE,"346,380","4,949,880",06/24/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,MILL,"330,567","4,927,180",08/06/1990,White Perch,100 ft gill net,Natural Occurrence
Annapolis,MILL,"330,567","4,927,180",08/06/1990,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,MILL,"330,567","4,927,180",08/06/1990,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,MILL,"330,567","4,927,180",08/06/1990,American Eel,minnow pail,Natural Occurrence
Annapolis,MILL,"330,567","4,927,180",08/06/1990,Banded Killifish,minnow pail,Natural Occurrence
Annapolis,MUDFLAT,"328,982","4,926,540",08/01/1982,White Perch,100 ft gill net,Natural Occurrence
Annapolis,MUDFLAT,"328,982","4,926,540",08/01/1982,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,MUDFLAT,"328,982","4,926,540",08/01/1982,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,MUDFLAT,"328,982","4,926,540",08/01/1982,American Eel,visual observation,Natural Occurrence
Annapolis,MUDFLAT,"328,982","4,926,540",08/01/1982,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,MUDFLAT,"328,982","4,926,540",08/01/1982,Lake Chub,seine net,Natural Occurrence
Annapolis,MUDFLAT,"328,982","4,926,540",08/01/1982,Creek Chub,100 ft gill net,Natural Occurrence
Annapolis,MUDFLAT,"328,982","4,926,540",08/01/1982,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,MUDFLAT,"328,982","4,926,540",08/01/1982,Banded Killifish,seine net,Natural Occurrence
Annapolis,MULGRAVE,"302,940","4,931,050",08/12/1975,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,MULGRAVE,"302,940","4,931,050",08/12/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,MULGRAVE,"302,940","4,931,050",08/12/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,MULGRAVE,"302,940","4,931,050",08/12/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,MULGRAVE,"302,940","4,931,050",08/12/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,MUNROE,"314,752","4,933,270",07/30/1991,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,MUNROE,"314,752","4,933,270",07/30/1991,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,MUNROE,"314,752","4,933,270",07/30/1991,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,MUNROE,"314,752","4,933,270",07/30/1991,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,PARADISE,"328,302","4,959,000",01/01/1989,Smallmouth Bass,unknown,Illegal Introduction
Annapolis,PARADISE,"328,302","4,959,000",08/16/1983,Yellow Perch,300 ft gill net,Natural Occurrence
Annapolis,PARADISE,"328,302","4,959,000",08/16/1983,Brown Bullhead,300 ft gill net,Natural Occurrence
Annapolis,PARADISE,"328,302","4,959,000",08/16/1983,American Eel,unknown,Natural Occurrence
Annapolis,PARADISE,"328,302","4,959,000",08/16/1983,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,PARADISE,"328,302","4,959,000",08/16/1983,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,PARADISE,"328,302","4,959,000",08/16/1983,Banded Killifish,minnow pail,Natural Occurrence
Annapolis,PAT KEMPTON,"326,231","4,922,320",08/20/1974,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,PAT KEMPTON,"326,231","4,922,320",08/20/1974,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,PAT KEMPTON,"326,231","4,922,320",08/20/1974,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,PERCH,"332,880","4,929,170",08/09/1982,White Perch,100 ft gill net,Natural Occurrence
Annapolis,PERCH,"332,880","4,929,170",08/09/1982,Yellow Perch,100 ft gill net,Natural Occurrence
