COUNTY,SITE_CODE,LAKE_NAME,STATION,EASTING,NORTHING,TOPO_MAP,MAPBOOK,VOLUME__M3,SURFACE AREA_ha,MAXIMUM DEPTH_m,MEAN DEPTH_m,AREA LESS THAN 6M DEEP (ha),SHORELINE DEVELOPMENT,FLUSHING RATE PER YEAR,HEADWATER,ASSESSMENT,SAMPLE DEPTH (m),THERMOCLIN,SURFACE TEMPERATURE (°C),BOTTOM TEMPERATURE (°C),SURFACE DISSOLVED OXYGEN (mg/L),BOTTOM DISSOLVED OXYGEN (mg/L),SECCHI_DISC_m,TURBIDITY (NTU),(JTU)TURBIDITY,COLOUR (TCU),(UNKNOWN UNITS)COLOUR,(RELATIVE UNITS) COLOUR,CONDUCTIVITY (umho/cm),HARDNESS as CaCO3 (mg/L),ALKALINITY as CaCO3 (mg/L),PH,ALUMINUM (mg/L),CALCIUM(mg/L),CHLORIDE (mg/L),COPPER (mg/L),IRON (mg/L),MANGANESE (mg/L),POTASSIUM (mg/L),SODIUM (mg/L),SULPHATE (mg/L),ZINC (mg/L),TOTAL NITROGEN as N (mg/L),NITRATE+ NITRITE as N  (mg/L),AMMONIA as N (mg/L),PHOSPHOROUS TOTAL  as P (mg/L),ORTHO PHOSPHOROUS as P (mg/L),SILICA (mg/L),TOTAL DISSOLVED SOLIDS (mg/L),SUSPENDED SOLIDS (mg/L),ORGANIC CARBON TOTAL (mg/L),DISSOLVED ORGANIC CARBON (mg/L),CHLOROPHYLL a (mg/m3),PHEOPHYTIN A (mg/m3),LAB,COLLECTOR,AGENCY,DATA_ID,NOTES,ALT_NAME
Colchester,10,FOLLY,,457386,5043110,11E12,28Z5,,78.9,33.5,,33.6,2.04,,Yes,09/10/2018,0,S,20.5,6.2,13.28,8.4,8,0.29,,5,,,54.5,,2.8,6.8,0.012,1.4,12,0.002,0.05,0.006,0.5,7.9,1.8,0.005,0.12,0.01,0.01,,,2.1,,10,2.3,,1.43,0.5,Nova Scotia Health Authority,bowencw,NS Department of Fisheries & Aquaculture,,,FOLLY Folly R.
Colchester,10,FOLLY,,457386,5043110,11E12,28Z5,,78.9,33.5,,33.6,2.04,,Yes,09/10/2018,13,S,20.5,6.2,13.28,8.4,8,0.22,,5,,,54.5,,2.2,6.7,0.024,1.4,12.1,0.002,0.05,0.009,0.5,7.8,2,0.005,0.1,0.02,0.01,,,2.4,,10,1.7,,,,Nova Scotia Health Authority,bowencw,NS Department of Fisheries & Aquaculture,,,FOLLY Folly R.
Colchester,10,FOLLY,,457386,5043110,11E12,28Z5,,78.9,33.5,,33.6,2.04,,Yes,09/10/2018,16,T,20.5,6.2,13.28,8.4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,0.32,Nova Scotia Health Authority,bowencw,NS Department of Fisheries & Aquaculture,,,FOLLY Folly R.
Colchester,10,FOLLY,,457386,5043110,11E12,28Z5,,78.9,33.5,,33.6,2.04,,Yes,09/10/2018,29.3,B,20.5,6.2,13.28,8.4,8,0.91,,7,,,58.4,6,3.4,6.8,0.066,1.6,12.3,0.002,1.045,0.207,0.5,7.8,2.2,0.006,0.31,0.03,0.16,0.009,0.006,3.4,,,2,,,,Nova Scotia Health Authority,bowencw,NS Department of Fisheries & Aquaculture,,,FOLLY Folly R.
Cumberland,989,HARRISON,,400528,5062440,21H09,27X1,2814528,134.4,5,2.6,134.4,1.71,,No,09/10/2018,0,S,20,19.7,12.11,12.09,1.2,4.77,,61,,,52.4,9.6,5.4,7.1,0.14,2.2,8.4,0.002,0.747,0.12,0.7,6.2,2.1,0.005,0.35,0.01,0.01,0.021,0.004,1.5,,10,10.1,,8.45,3.07,Nova Scotia Health Authority,bowencw,NS Department of Fisheries & Aquaculture,,,HARRISON Maccan R.
Cumberland,989,HARRISON,,400528,5062440,21H09,27X1,2814528,134.4,5,2.6,134.4,1.71,,No,09/10/2018,2.4,T,20,19.7,12.11,12.09,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.39,3.32,Nova Scotia Health Authority,bowencw,NS Department of Fisheries & Aquaculture,,,HARRISON Maccan R.
Cumberland,989,HARRISON,,400528,5062440,21H09,27X1,2814528,134.4,5,2.6,134.4,1.71,,No,09/10/2018,3.1,B,20,19.7,12.11,12.09,1.2,5.2,,60.7,,,52.5,9.6,5.5,7.1,0.155,2.2,7.9,0.002,0.764,0.134,0.6,6.2,2.2,0.005,0.38,0.01,0.01,0.022,0.004,1.5,,,10.2,,,,Nova Scotia Health Authority,bowencw,NS Department of Fisheries & Aquaculture,,,HARRISON Maccan R.
Digby,969,NOWLANS,,265977,4910720,21A05,71V4,925834,28.4,8,3.3,27.6,2.1,,Yes,08/30/2018,0,S,24.6,18.6,15.5,7.65,0.85,11.2,,14,,,78.8,13.7,9.1,9.1,0.018,3,13,0.002,0.131,0.046,1.2,8.3,1.6,0.005,,0.01,0.01,0.464,0.409,1.1,,10,7.9,,47.1,2.35,Nova Scotia Health Authority,bowencw,NS Department of Fisheries & Aquaculture,,,NOWLANS Meteghan R.
Digby,969,NOWLANS,,265977,4910720,21A05,71V4,925834,28.4,8,3.3,27.6,2.1,,Yes,08/30/2018,1.7,S,24.6,18.6,15.5,7.65,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,Nova Scotia Health Authority,bowencw,NS Department of Fisheries & Aquaculture,,,NOWLANS Meteghan R.
Digby,969,NOWLANS,,265977,4910720,21A05,71V4,925834,28.4,8,3.3,27.6,2.1,,Yes,08/30/2018,5,T,24.6,18.6,15.5,7.65,0.85,15.7,,60.2,,,120,24,36.6,7.5,0.02,6.3,12.7,0.002,6.108,2.879,1.8,8.3,1,0.005,3.14,0.01,2.38,2.405,2.02,2.4,,20.5,9.8,,,,Nova Scotia Health Authority,bowencw,NS Department of Fisheries & Aquaculture,,,NOWLANS Meteghan R.
Digby,969,NOWLANS,,265977,4910720,21A05,71V4,925834,28.4,8,3.3,27.6,2.1,,Yes,08/30/2018,6.3,B,24.6,18.6,15.5,7.65,0.85,38.8,,191,,,147,26.8,48.8,7.4,0.027,7.1,12.5,0.002,14.082,2.819,2.1,8.1,1,0.005,6.03,0.01,4.52,4.942,2.845,3.4,,,11.3,,,,Nova Scotia Health Authority,bowencw,NS Department of Fisheries & Aquaculture,,,NOWLANS Meteghan R.
Digby,966,PROVOST,,272599,4914770,21A05,71W3,1057810,33.8,9,3.1,33.3,2.5,1.8,Yes,08/30/2018,0,S,24.4,17.2,13.6,8.75,2.35,0.9,,23.8,,,40.3,5.5,1.8,6.5,0.062,0.9,7.9,0.002,0.22,0.032,0.5,5.2,2.3,0.005,0.24,0.01,0.01,0.009,0.002,1,,10,5.8,,3.46,3.2,Nova Scotia Health Authority,bowencw,NS Department of Fisheries & Aquaculture,,,PROVOST Sissiboo R.
Digby,966,PROVOST,,272599,4914770,21A05,71W3,1057810,33.8,9,3.1,33.3,2.5,1.8,Yes,08/30/2018,4.7,T,24.4,17.2,13.6,8.75,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,Nova Scotia Health Authority,bowencw,NS Department of Fisheries & Aquaculture,,,PROVOST Sissiboo R.
Digby,966,PROVOST,,272599,4914770,21A05,71W3,1057810,33.8,9,3.1,33.3,2.5,1.8,Yes,08/30/2018,6.9,B,24.4,17.2,13.6,8.75,2.35,5.08,,89.5,,,47.2,6.5,6.3,7,0.174,1.3,7.7,0.002,3.7,0.578,0.5,5,1.6,0.005,0.68,0.01,0.31,0.017,0.006,1.2,,,8.1,,,,Nova Scotia Health Authority,bowencw,NS Department of Fisheries & Aquaculture,,,PROVOST Sissiboo R.
Digby,84,PORCUPINE,,265320,4906310,21A05,71V5,1410041,146.9,13,1,0,2.2,,Unknown,08/29/2018,0,S,24.5,9.3,13.3,11.74,1.9,0.87,,23.9,,,51.8,8.3,3.8,7,0.021,1.5,9.7,0.002,0.283,0.054,0.6,6.2,2.8,0.005,0.26,0.01,0.01,0.01,0.003,1,,8.3,5.2,,2.86,2.22,Nova Scotia Health Authority,bowencw,NS Department of Fisheries & Aquaculture,,,PORCUPINE Tusket R.
Digby,84,PORCUPINE,,265320,4906310,21A05,71V5,1410041,146.9,13,1,0,2.2,,Unknown,08/29/2018,3.8,S,24.5,9.3,13.3,11.74,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,,Nova Scotia Health Authority,bowencw,NS Department of Fisheries & Aquaculture,,,PORCUPINE Tusket R.
